scopeId,domain,domainName,category,feature,mandatory,layers,status,evidence
SCOPE-AUTH-001,A,Autenticação e sessão,BACKEND,Autenticação,True,"API,SVC,TEST",COMPLETE,identity/*; test/identity-authz.integration.spec.ts (22/22)
SCOPE-AUTH-002,A,Autenticação e sessão,BACKEND,JIT provisioning,True,"SVC,DB,TEST",COMPLETE,user-provisioning.service.ts; identity-authz.spec
SCOPE-AUTH-003,A,Autenticação e sessão,BACKEND,Sessão,True,"API,SVC,TEST",COMPLETE,session.controller.ts; identity-authz.spec
SCOPE-AUTH-004,A,Autenticação e sessão,BACKEND,Troca de tenant,True,"API,SVC,DB,TEST,E2E",COMPLETE,session.service.ts; multitenancy.spec; e2e/api/session-api.spec.ts
SCOPE-AUTH-005,A,Autenticação e sessão,BACKEND,Logout,True,"API,SVC,TEST",COMPLETE,session.controller.ts; identity-authz.spec
SCOPE-ORG-001,B,Organizações e tenancy,BACKEND,Listar orgs,True,"API,SVC,DB,TEST",COMPLETE,organizations.service.ts; multitenancy.spec
SCOPE-ORG-002,B,Organizações e tenancy,BACKEND,Detalhe org,True,"API,SVC,TEST",COMPLETE,organizations.controller.ts; identity-authz.spec
SCOPE-ORG-003,B,Organizações e tenancy,BACKEND,Membership/me,True,"API,SVC,TEST",COMPLETE,organizations.controller.ts
SCOPE-ORG-004,B,Organizações e tenancy,BACKEND,Isolamento multi-tenant,True,"SVC,DB,TEST",COMPLETE,authz/guards/organization.guard.ts; multitenancy+operations-multitenancy.spec
SCOPE-PERM-001,C,"Usuários, roles e permissões",SECURITY,Catálogo de permissões,True,"DB,TEST",COMPLETE,prisma/seed.ts; identity-authz.spec
SCOPE-PERM-002,C,"Usuários, roles e permissões",SECURITY,Permission guard,True,"SVC,TEST",COMPLETE,authz/guards/permission.guard.ts
SCOPE-PERM-003,C,"Usuários, roles e permissões",SECURITY,Papéis e memberships,True,"SVC,DB,TEST",COMPLETE,authz/authorization.service.ts; identity-authz.spec
SCOPE-PERM-004,C,"Usuários, roles e permissões",SECURITY,Gestão de papéis (UI/CRUD),False,FE,MOCK_ONLY,features/roles/RolesPage.tsx (constante estática ROLE_PERMISSIONS; sem CRUD/backend)
SCOPE-OPS-001,D,Operações,BACKEND,CRUD de operação,True,"FE,API,SVC,DB,TEST,E2E",COMPLETE,operations.*; operations-flow.spec; e2e/api/operations-api.spec.ts
SCOPE-OPS-002,D,Operações,BACKEND,Ciclo de vida,True,"FE,API,SVC,DB,TEST",COMPLETE,operations-lifecycle.spec
SCOPE-OPS-003,D,Operações,BACKEND,Wizard de criação,True,"FE,API,E2E",COMPLETE,features/operations/wizard; e2e/wizard.spec.ts; v1-operations-repository.ts
SCOPE-OPS-004,D,Operações,BACKEND,Ambientes (promote/rollback),True,"FE,API,SVC,TEST",COMPLETE,features/environments; operation-lifecycle.ts
SCOPE-VER-001,E,Versionamento e publicação,BACKEND,Versões,True,"API,SVC,DB,TEST",COMPLETE,operation-versions.*; operations-lifecycle.spec
SCOPE-VER-002,E,Versionamento e publicação,BACKEND,Publicação transacional,True,"API,SVC,DB,TEST",COMPLETE,operation-versions.service.ts; operations-rollback.spec
SCOPE-VER-003,E,Versionamento e publicação,BACKEND,Comparação de versões,True,"API,SVC,TEST",COMPLETE,version-diff.spec.ts; operations-lifecycle.spec
SCOPE-AUTH-LEVEL-001,F,Autoridade,BACKEND,Perfil/matriz de autoridade,True,"API,SVC,DB,TEST",COMPLETE,operations/authority.controller.ts; authority.rules.spec
SCOPE-AUTH-LEVEL-002,F,Autoridade,BACKEND,Motor de avaliação de autoridade,True,"API,SVC,DB,TEST",COMPLETE,enforcement/*; enforcement-flow.spec; authority-evaluation.spec
SCOPE-AUTH-LEVEL-003,F,Autoridade,BACKEND,UI de autoridade,True,FE,MOCK_ONLY,features/authority (useScopedData snapshot; backend existe mas não conectado)
SCOPE-POL-001,G,Policies e approvals,BACKEND,CRUD/publicação de policy,True,"API,SVC,DB,TEST",COMPLETE,policies.*; policies-flow.spec
SCOPE-POL-002,G,Policies e approvals,BACKEND,Binding policy↔operação,True,"API,SVC,DB,TEST",COMPLETE,policies/bindings.controller.ts; policies-flow.spec
SCOPE-APV-001,G,Policies e approvals,BACKEND,Fluxos de aprovação,True,"API,SVC,DB,TEST",COMPLETE,approvals/flows.controller.ts; enforcement-flow.spec
SCOPE-APV-002,G,Policies e approvals,BACKEND,Pedido + decisão,True,"API,SVC,DB,TEST",COMPLETE,approvals/requests.*; enforcement-flow+approval-concurrency.spec
SCOPE-APV-003,G,Policies e approvals,BACKEND,Delegações,True,"API,SVC,DB,TEST",COMPLETE,approvals/delegations.controller.ts; enforcement-flow.spec
SCOPE-APV-004,G,Policies e approvals,BACKEND,UI de governança/aprovações,True,FE,MOCK_ONLY,"features/governance,approvals (snapshot; ApiApprovalsRepository presente porém nunca chamado)"
SCOPE-WU-001,H,Work Units,BACKEND,Unidade de trabalho,True,"SVC,DB,TEST",PARTIAL,execution steps carregam workUnitCost; sem entidade WorkUnit dedicada
SCOPE-WU-002,H,Work Units,BACKEND,UI de Work Units,False,FE,MOCK_ONLY,features/work-units (snapshot; sem domínio backend dedicado)
SCOPE-EXE-001,I,Execution engine,EXECUTION,Motor de execução,True,"API,SVC,DB,TEST",COMPLETE,executions/*; execution-flow+execution-critical.spec
SCOPE-EXE-002,I,Execution engine,EXECUTION,Evidências,True,"API,SVC,DB,TEST",COMPLETE,execution-flow.spec (evidence)
SCOPE-EXE-003,I,Execution engine,EXECUTION,UI de execuções,True,FE,MOCK_ONLY,features/executions (snapshot; backend de execuções existe mas não conectado)
SCOPE-WRK-001,J,Workers e filas,EXECUTION,Fila durável,True,"SVC,DB,TEST",COMPLETE,execution.queue.ts:48; execution-critical.spec §40
SCOPE-WRK-002,J,Workers e filas,EXECUTION,Leases + heartbeat + recuperação,True,"SVC,DB,TEST",COMPLETE,execution.queue.ts; execution-critical.spec §41
SCOPE-WRK-003,J,Workers e filas,EXECUTION,Worker entrypoint,True,"SVC,TEST",COMPLETE,worker.ts; execution.worker.ts
SCOPE-CON-001,K,Connectors,CONNECTOR,Catálogo de conectores,True,"API,SVC,DB,TEST",COMPLETE,connectors/catalog; connectors-persistence.spec
SCOPE-CON-002,K,Connectors,CONNECTOR,Conexões,True,"FE,API,SVC,DB,TEST",COMPLETE,connections.*; connections-api.spec; features/integrations
SCOPE-CON-003,K,Connectors,CONNECTOR,Tool bindings,True,"API,SVC,DB,TEST",COMPLETE,tool-bindings.controller.ts; connectors-persistence.spec
SCOPE-CON-004,K,Connectors,CONNECTOR,Webhooks,True,"API,SVC,DB,TEST",COMPLETE,webhooks/*; webhook-inbound.spec
SCOPE-CON-005,K,Connectors,CONNECTOR,SSRF guard,True,"SVC,TEST",COMPLETE,http/ssrf-guard.ts; secure-http-client.spec
SCOPE-VAULT-001,L,Credentials e SecretVault,SECURITY,Cofre AES-256-GCM,True,"SVC,DB,TEST",COMPLETE,vault/aes-gcm.ts; credential-vault-critical.spec (canário)
SCOPE-VAULT-002,L,Credentials e SecretVault,SECURITY,Rotação + crypto-shredding,True,"API,SVC,DB,TEST",COMPLETE,credential-versions.service.ts; credential-vault.spec
SCOPE-VAULT-003,L,Credentials e SecretVault,SECURITY,Keyring versionado + backup/restore,True,"SVC,TEST",COMPLETE,security/connector-master-key*; connector-master-key-lifecycle.spec
SCOPE-VAULT-004,L,Credentials e SecretVault,SECURITY,Recriptografia (CAS),True,"SVC,DB,TEST",COMPLETE,connector-credential-reencryption.service.ts; master-key-reencryption.integration.spec
SCOPE-TOOL-001,M,Tools,CONNECTOR,Executor de tool externa,True,"SVC,DB,TEST",COMPLETE,external-tool-executor.ts; external-tool.integration.spec
SCOPE-TOOL-002,M,Tools,CONNECTOR,Validação de schema de tool,True,"SVC,TEST",COMPLETE,tools/json-schema-validator.spec.ts
SCOPE-TOOL-003,M,Tools,CONNECTOR,Resultado incerto sem falso sucesso,True,"SVC,TEST",COMPLETE,external-tool.integration.spec
SCOPE-AGT-001,N,Agents,AGENT,CRUD/ciclo de vida de agente,True,"FE,API,SVC,DB,TEST",COMPLETE,agents/agents; agents-persistence.spec; features/agents
SCOPE-AGT-002,N,Agents,AGENT,Versões imutáveis,True,"FE,API,SVC,DB,TEST",COMPLETE,agents/versions; agents-critical.spec §32/§33
SCOPE-AGT-003,N,Agents,AGENT,Runtime loop de tools,True,"SVC,DB,TEST",COMPLETE,runtime/agent-runtime.ts; agent-tool-calling.integration.spec
SCOPE-AGT-004,N,Agents,AGENT,Suspensão/retomada + checkpoint,True,"SVC,DB,TEST",COMPLETE,agent-runtime.ts; agent-tool-calling.spec §38
SCOPE-AGT-005,N,Agents,AGENT,Isolamento de contexto,True,"SVC,TEST",COMPLETE,runtime/context/*; agent-context.integration.spec
SCOPE-MC-001,O,Model configurations,AGENT,Model configurations,True,"FE,API,SVC,DB,TEST",COMPLETE,model-configurations.*; agents-persistence.spec; features/model-configurations
SCOPE-MC-002,O,Model configurations,AGENT,Catálogo de provedores/modelos,True,"API,SVC,DB,TEST",COMPLETE,providers/model-providers.controller.ts
SCOPE-AI-001,P,Runtime de IA,AGENT,Provider determinístico interno,True,"SVC,DB,TEST",COMPLETE,runtime/internal-test-model.provider.ts; agent-runtime.integration.spec
SCOPE-AI-002,P,Runtime de IA,AGENT,Anthropic — structured output offline,True,"SVC,TEST",COMPLETE,providers/anthropic/*; anthropic-runtime.integration.spec
SCOPE-AI-003,P,Runtime de IA,AGENT,Anthropic — tool calling offline,True,"SVC,TEST",COMPLETE,anthropic-tool-calling.integration.spec
SCOPE-AI-004,P,Runtime de IA,AGENT,Anthropic — execução real/produção,True,SVC,BLOCKED_BY_EXTERNAL_PROVIDER,gates default false; productionAllowed=false; live calls NONE; pricing/data-gov UNVERIFIED
SCOPE-USE-001,Q,"Usage, custo e avaliação",AGENT,Registro de uso,True,"API,SVC,DB,TEST",COMPLETE,governance/*; agent-governance.integration.spec §42
SCOPE-USE-002,Q,"Usage, custo e avaliação",AGENT,Custo estimado,True,"SVC,DB,TEST",COMPLETE,cost-estimator; agent-governance.spec §42
SCOPE-USE-003,Q,"Usage, custo e avaliação",AGENT,Avaliação + rollups,True,"SVC,DB,TEST",COMPLETE,evaluation-engine; agent-governance.spec §43/§44
SCOPE-USE-004,Q,"Usage, custo e avaliação",AGENT,Endpoints admin de resultado/uso,True,"FE,API,SVC,TEST",COMPLETE,agent-results.controller.ts; features/agent-results
SCOPE-AUD-001,R,Auditoria e evidências,SECURITY,Auditoria de domínio,True,"API,SVC,DB,TEST",COMPLETE,audit/*; operations-multitenancy.spec (no-leak)
SCOPE-AUD-002,R,Auditoria e evidências,SECURITY,Auditoria de identidade,True,"SVC,DB,TEST",COMPLETE,identity audit; identity-authz.spec
SCOPE-AUD-003,R,Auditoria e evidências,SECURITY,UI de auditoria/segurança,True,"FE,API,TEST",COMPLETE,"features/audit,security (use-audit api-real)"
SCOPE-FE-001,S,Frontend e UX,FRONTEND,Núcleo de operações (FE),True,"FE,API,E2E",COMPLETE,"features/operations,environments; e2e/api"
SCOPE-FE-002,S,Frontend e UX,FRONTEND,Agents/model-config/results (FE),True,"FE,API,TEST",COMPLETE,"features/agents,model-configurations,agent-results"
